round,alive_nodes,energy_consumed,cum_energy,sod_trigger_ratio,energy_efficiency,avg_trust,pdr,delay,routing_overhead
1,30,0.004393204839090149,0.004393204839090149,1.0,0.9999267799193484,0.543113986981202,0.9050602750413961,32.8654647189653,0.17889692626950107
2,30,0.004181400391144066,0.008574605230234216,0.9333333333333333,0.999856916579496,0.5766786707205208,0.8974160738271725,35.90845339472661,0.21169438433453766
3,30,0.00422307374051632,0.012797678970750535,0.9666666666666667,0.9997864453504874,0.6095679738799934,0.9370994635588061,11.643511318697009,0.22931092738289027
4,30,0.0040946619826300774,0.016892340953380613,0.9666666666666667,0.999718114317444,0.6331329818818882,0.9051280756277911,19.981514118841545,0.19096133753653194
5,30,0.003919054833240925,0.02081139578662154,0.9,0.9996525367368896,0.6496069729865133,0.8612368666724549,49.636146366127804,0.24113318536158312
6,30,0.0007410007207473831,0.021552396507368923,0.2,0.9996381067248772,0.6517495717340201,0.8963310922922866,17.36476571846485,0.10698979607809406
7,30,0.0010931617265495823,0.022645558233918506,0.13333333333333333,0.9996176340294347,0.6504401815363144,0.8518039595622343,37.752679120231505,0.2595034090206878
8,30,0.0005049426540308186,0.023150500887949323,0.2,0.9996071383185343,0.6561501194018572,0.9033872256370258,23.771487276202365,0.17107354215347526
9,30,0.0014477913009402657,0.02459829218888959,0.2,0.9995809284635186,0.6630003864791447,0.8815432821407986,17.508876826487857,0.28689995580230343
10,30,0.0012051174167453374,0.025803409605634927,0.16666666666666666,0.9995586765065727,0.6662304386454989,0.9282310302541472,27.954291854165675,0.1621166463858103
11,30,0.0003463074207073166,0.026149717026342244,0.06666666666666667,0.9995504780495611,0.6597836434952468,0.9649968342834561,27.849237057617668,0.16914797937530177
12,30,0.0015556048031828001,0.027705321829525044,0.26666666666666666,0.9995226446361746,0.6663813759381887,0.8876899817478908,36.364300650041265,0.2668430605201709
13,30,0.000808880456157834,0.02851420228568288,0.16666666666666666,0.9995069966285723,0.6605226102575503,0.8579492098280848,11.693110156614717,0.229575118703297
14,30,5.62e-05,0.02857040228568288,0.03333333333333333,0.9995035466285722,0.6669906225730788,0.9591347032931641,23.63037261597826,0.28509081887672316
15,30,0.0004308390475198547,0.029001241333202733,0.03333333333333333,0.999493852644447,0.6738472447679101,0.9177446394415243,32.552123808455036,0.1109331197255328
16,30,0.0005842227413781014,0.02958546407458083,0.1,0.9994817755987575,0.6798127517991684,0.862992987167988,26.311302034994046,0.2112018417267465
17,30,0.0,0.02958546407458083,0.0,0.9994791755987573,0.6797631050001008,0.9058540851806128,13.58760894285652,0.12887483545258815
18,30,0.0005693565667672613,0.03015482064134809,0.1,0.9994673463226447,0.6759644867147793,0.8913107495378703,11.329644454916679,0.20232386190724427
19,30,0.00012839527054449052,0.03028321591189258,0.03333333333333333,0.9994626930681353,0.6739018648261308,0.9067727272538814,30.76521632374984,0.17226138420426654
20,30,0.00010293926957865688,0.03038615518147124,0.03333333333333333,0.9994584640803093,0.6744326112294281,0.8668205508753065,21.599605919649,0.16038926179909202
21,30,0.0,0.03038615518147124,0.0,0.9994558640803091,0.6612772596204654,0.9417008882745603,11.95477385069951,0.16472435808882738
22,30,0.0005305954233811107,0.03091675060485235,0.16666666666666666,0.9994448541565865,0.6683152229473953,0.8618869403304638,37.76554431904429,0.17872503680866308
23,30,0.00024058899411226475,0.031157339598964613,0.1,0.9994385043400181,0.6661031171406646,0.932680689999248,25.12110205851635,0.1165396430134224
24,30,0.0007436390300706318,0.03190097862903525,0.13333333333333333,0.9994238570228503,0.6726634093699833,0.9268737440323523,10.168407449409695,0.21358838133828195
25,30,0.0009808583268307782,0.03288183695586603,0.26666666666666666,0.999405602717403,0.6767218617113588,0.860780499176577,40.611678487852686,0.15624173564021634
26,30,0.0005022043591004682,0.0333840413149665,0.13333333333333333,0.9993949793114179,0.682305545491927,0.9663925381649104,26.440749943104894,0.17809105876654763
27,30,0.0011123736070465578,0.03449641492201306,0.26666666666666666,0.9993745330846341,0.6752401466335087,0.959763846174766,42.265042975543196,0.265641107223045
28,30,0.0007317445793683909,0.03522815950138145,0.16666666666666666,0.9993601706749774,0.6826024318455839,0.8955199787567797,30.052526428191726,0.14182313854955364
29,30,0.0005243036618274409,0.035752463163208896,0.13333333333333333,0.9993491789472807,0.6818266074992461,0.8558602038954992,19.69260274064554,0.18153947808023266
30,30,0.0004129531171274873,0.036165416280336385,0.13333333333333333,0.9993400430619952,0.6653229852942572,0.8708336739134768,27.93844743796976,0.21418883871864047
31,30,0.00014401815674332865,0.036309434437079714,0.06666666666666667,0.999335216092716,0.6685506292699259,0.8835783566754223,43.859726018462204,0.29610951495314064
32,30,0.0006174913363871346,0.03692692577346683,0.16666666666666666,0.9993227579037764,0.671418949262916,0.874217761396901,21.099875074277506,0.2155263649880914
33,30,0.0008667134626770533,0.037793639236143886,0.16666666666666666,0.9993061460127318,0.6761398737568941,0.9113449378083981,15.994478049954225,0.2801221978569987
34,30,0.0006321631736839313,0.03842580240982782,0.13333333333333333,0.9992933566265039,0.6725895994605339,0.9615735780904389,20.910491508448313,0.12227143327356521
35,30,0.0005903668038290109,0.03901616921365683,0.13333333333333333,0.9992812638464398,0.6708737106859467,0.9290424386864966,41.63218049019875,0.1996242830603931
36,30,0.00015128117987235731,0.03916745039352919,0.06666666666666667,0.9992763158267756,0.6695803979146855,0.8911331280274467,48.726307591139964,0.21596553960685005
37,30,0.00011340499093195146,0.03928085538446114,0.06666666666666667,0.9992719990769267,0.6677726466370394,0.8664686536886083,12.477284747423605,0.21549662123515506
38,30,0.0004023924406259154,0.03968324782508705,0.1,0.9992629525362496,0.6672941388848572,0.9590151687670649,43.578239818258496,0.1855871804845033
39,30,9.606839587704252e-05,0.039779316220964096,0.03333333333333333,0.9992588380629851,0.6669951352448946,0.9013904157741696,30.102989340451085,0.24023477060494836
40,30,0.0002879421285067105,0.04006725834947081,0.06666666666666667,0.9992516123608431,0.6725766910681803,0.9344977970392391,36.58250809791692,0.19138928069408045
41,30,0.0003416290900219493,0.04040888743949276,0.06666666666666667,0.9992434918760098,0.6770440931805687,0.9359497960608802,45.816820125832,0.2693219993103053
42,30,6.265237135944272e-05,0.0404715398108522,0.03333333333333333,0.9992399343364868,0.6795248057111597,0.9559117420858274,14.184662744810428,0.1433361472845323
43,30,0.00013677833043962187,0.04060831814129182,0.03333333333333333,0.9992351413643132,0.6773338721744876,0.9444463089883638,23.69833702027366,0.23657135348740663
44,30,6.545177007650371e-05,0.04067376991136833,0.03333333333333333,0.999231537168145,0.6639629055319595,0.9097158859719348,38.07220205670791,0.295443480105393
45,30,0.0006727875661738832,0.041346557477542206,0.1,0.9992179840420424,0.6694724524219833,0.953288896499497,42.70055259318081,0.26673939096967314
46,30,0.0004877149851794806,0.041834272462721686,0.06666666666666667,0.9992074287922892,0.6661455216322592,0.9482561299092094,37.58870085454144,0.22170837118761288
