seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.11330049261083744,0.06700483091787414,2.0,4.881130163205739,13.971923200240457,0.8133800000007054,1650000,82500,165000,57750
2,0.1357202331390508,0.06353783231083814,2.0,4.727040788541133,14.075705600243142,0.8002200000006535,1666000,83300,166600,58310
3,0.128428927680798,0.0660625674217905,2.0,4.668920509283827,14.629126400248012,0.8103600000006789,1736400,86820,173640,60774
4,0.07568681318681318,0.06678765880217749,2.0,5.228190522050319,13.398124800227018,0.8196800000007027,1579600,78980,157960,55286
5,0.11112723052371971,0.06791122715404671,2.0,4.792766760208703,13.994764800241354,0.7886000000006212,1661600,83080,166160,58156
