label,pdr_mean,pdr_std,delay_mean,delay_std,hops_mean,hops_std,tx_j_mean,tx_j_std,rx_j_mean,rx_j_std,energy_mean,energy_std
off,0.258267,0.023732222809926585,0.0604252,0.00267716262113455,2.4527086000000002,0.22771603180013472,0.8063891200000001,0,1.0673716,0,1.87376072,0
alpha=0.2,0.26102400000000003,0.03129974586158807,0.059899999999999995,0.002854475696165582,2.4685702,0.26470021213006245,0.8084542599999999,0,1.06937884,0,1.8778330999999997,0
alpha=0.35,0.279525,0.0129202550477922,0.059616999999999996,0.00209707677494173,2.529422,0.1745661071070213,0.7966371400000001,0,1.0673101200000001,0,1.8639472600000002,0
alpha=0.5,0.30283859999999996,0.03207499702727968,0.0617496,0.002811950977524321,2.9407989999999997,0.33182971888681095,0.79314814,0,1.07733508,0,1.87048322,0
alpha=0.65,0.34359339999999994,0.032175085327004194,0.0682614,0.00804132071242032,3.9288542,0.8897366378739272,0.7992893000000001,0,1.1107787999999998,0,1.9100681,0
alpha=0.8,0.39459399999999994,0.05570686273252158,0.07597060000000001,0.0061388242603938456,4.6137818,0.7969391905275458,0.7894667200000001,0,1.1358464,0,1.92531312,0
