seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.058823529411764705,0.06761904761904763,2.0,0.23827433870546666,0.3825600000001864,0.03973999999999939,42120,2106,4212,2106
2,0.09036144578313253,0.0646666666666667,2.0,0.22219369646627382,0.3611648000001385,0.03614000000000018,39360,1968,3936,1968
3,0.053824362606232294,0.08105263157894739,2.0,0.23875365101177567,0.38892160000021414,0.03937999999999964,42680,2134,4268,2134
4,0.028645833333333332,0.08181818181818183,2.0,0.29358122004241843,0.3600576000001333,0.042299999999999144,38760,1938,3876,1938
5,0.06128133704735376,0.06454545454545456,2.0,0.28745602923265673,0.3825216000001925,0.03717999999999997,41400,2070,4140,2070
