label,pdr_mean,delay_mean,hops_mean,tx_j_mean,rx_j_mean,cpu_j_mean,tot_energy_mean,dpdr_vs_off,ddelay_vs_off,dhops_vs_off,dEnergy_vs_off
off,0.258267,0.0604252,2.4527086000000002,0.8063891200000001,1.0673716,0.18086200000000002,2.05462272,0.0,0.0,0.0,0.0
a02,0.26102400000000003,0.059899999999999995,2.4685702,0.8084542599999999,1.06937884,0.18179800000000002,2.0596311,0.0027570000000000094,-0.0005252000000000034,0.015861599999999587,0.0050083800000000345
a035,0.279525,0.059616999999999996,2.529422,0.7966371400000001,1.0673101200000001,0.181646,2.0455932600000004,0.021258,-0.000808200000000002,0.0767133999999996,-0.009029459999999379
a05,0.30283859999999996,0.0617496,2.9407989999999997,0.79314814,1.07733508,0.18652599999999997,2.05700922,0.044571599999999933,0.0013244000000000034,0.4880903999999995,0.002386500000000069
a065,0.34359339999999994,0.0682614,3.9288542,0.7992893000000001,1.1107787999999998,0.201234,2.1113021,0.08532639999999991,0.007836200000000001,1.4761455999999997,0.05667938000000028
a08,0.39459399999999994,0.07597060000000001,4.6137818,0.7894667200000001,1.1358464,0.213034,2.13834712,0.13632699999999992,0.015545400000000015,2.1610731999999997,0.08372440000000037
