seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.0928250426158376,0.06848080133555888,2.0,5.145814845540833,13.892256000240307,0.7416600000005119,1650000,82500,165000,57750
2,0.09045147081956897,0.06991304347826041,2.0,5.039534441568277,14.030598400242972,0.734740000000494,1666000,83300,166600,58310
3,0.1065766755611364,0.07013254786450626,2.0,4.839671972291921,14.570451200248113,0.7415400000005105,1736400,86820,173640,60774
4,0.12492192379762648,0.0677999999999997,2.0,5.172490319878095,13.28906880022767,0.7461200000005338,1579600,78980,157960,55286
5,0.08432189804424495,0.07182509505703388,2.0,5.027775322970789,13.98273280024232,0.7233400000004471,1661600,83080,166160,58156
