seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.25831202046035806,0.05821782178217821,2.237623762376238,0.16295645594534333,0.3984320000002103,0.035400000000000216,42120,2106,4212,2106
2,0.2554945054945055,0.05505376344086021,2.150537634408602,0.1508818097010732,0.37140480000016396,0.03348000000000063,39360,1968,3936,1968
3,0.27055702917771884,0.05705882352941175,2.088235294117647,0.1559554018431798,0.40013440000021205,0.03430000000000035,42680,2134,4268,2134
4,0.17814726840855108,0.060533333333333356,2.52,0.1803508650461764,0.3794624000001558,0.03817999999999979,38760,1938,3876,1938
5,0.23774509803921567,0.0597938144329897,2.2989690721649483,0.16900309301590402,0.39639680000020483,0.03681999999999999,41400,2070,4140,2070
