seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.11452513966480447,0.07560975609756102,2.0,0.242867275987027,0.3822016000001848,0.03971999999999935,42120,2106,4212,2106
2,0.13496932515337423,0.06818181818181822,2.0,0.2296820121572004,0.35891200000013507,0.03657999999999985,39360,1968,3936,1968
3,0.1329639889196676,0.07833333333333338,2.0,0.24886014089302683,0.38784640000021225,0.03995999999999957,42680,2134,4268,2134
4,0.09610389610389611,0.0740540540540541,2.0,0.2996582265244501,0.35923840000012996,0.04227999999999913,38760,1938,3876,1938
5,0.11388888888888889,0.06926829268292686,2.0,0.28227489496907027,0.3814976000001888,0.037559999999999955,41400,2070,4140,2070
