seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.02035742035742036,0.06824427480916023,2.0,5.076407443724984,13.921491200240263,0.7425800000005339,1650000,82500,165000,57750
2,0.02100972091564754,0.07014925373134324,2.0,4.987704649624544,14.033158400243074,0.7392000000005104,1666000,83300,166600,58310
3,0.023783098144918344,0.07119999999999997,2.0,4.819727712467486,14.589139200248189,0.7420800000005173,1736400,86820,173640,60774
4,0.05325814536340852,0.07058823529411733,2.0,5.105949294205512,13.315948800227519,0.7462400000005271,1579600,78980,157960,55286
5,0.013582614253755194,0.06870588235294116,2.0,4.936869133404304,14.016012800242324,0.7233800000004635,1661600,83080,166160,58156
