seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.003246753246753247,0.08,2.0,0.24369925122522873,0.38552960000019687,0.03378000000000039,42120,2106,4212,2106
2,0.006644518272425249,0.07,2.0,0.24677414066364833,0.3570688000001296,0.03474000000000023,39360,1968,3936,1968
3,0.0,0.0,0.0,0.22005708656259104,0.38999680000021697,0.03382000000000036,42680,2134,4268,2134
4,0.0,0.0,0.0,0.2807216532594976,0.3612864000001339,0.03743999999999995,38760,1938,3876,1938
5,0.009404388714733543,0.09333333333333334,2.0,0.2652264725538602,0.38098560000019493,0.03426000000000075,41400,2070,4140,2070
