seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.0,0.0,0.0,0.11219111986583652,0.1017920000000053,0.015799999999999613,10040,502,1004,502
2,0.0,0.0,0.0,0.11393687946039545,0.10776960000000207,0.016499999999999657,10760,538,1076,538
3,0.018518518518518517,0.09333333333333334,2.0,0.11435289237717712,0.09927040000000531,0.017039999999999653,9480,474,948,474
4,0.006211180124223602,0.12000000000000001,2.0,0.1319200394063673,0.1046272000000035,0.01701999999999969,10080,504,1008,504
5,0.0,0.0,0.0,0.13448147500631447,0.09139840000000131,0.01785999999999971,8440,422,844,422
