nodes,noise,vs,metric,trust_mean,trust_ci_lo,trust_ci_hi,base_mean,base_ci_lo,base_ci_hi,diff_mean,diff_ci_lo,diff_ci_hi
50,0.0,leach,pdr,0.37896654716479106,0.36006071141296736,0.401932700603969,0.1373352814679242,0.08031490361407005,0.1971113899058039,0.24163126569686685,0.17734437799528646,0.30112254727819215
50,0.0,leach,delay,0.06366393876076974,0.06098767605633805,0.06634020146520145,0.0717744677900284,0.06428832951945077,0.07926060606060605,-0.008110529029258656,-0.01624840380582876,0.00023182920507561534
50,0.0,leach,txrx,0.1862183064852929,0.1847915629061519,0.1881525135976827,0.22154806928373044,0.20198081681205768,0.24348358021091182,-0.03532976279843755,-0.05819685263276494,-0.016182093518073995
50,0.0,heed,pdr,0.37896654716479106,0.36006071141296736,0.401932700603969,0.04453077430352338,0.028816442948822164,0.05915934419473344,0.3344357728612677,0.3106467353745152,0.3606317978761191
50,0.0,heed,delay,0.06366393876076974,0.06098767605633805,0.06634020146520145,0.07820346320346319,0.069012987012987,0.08739393939393936,-0.01453952444269345,-0.023942781470290254,-0.004820306292885538
50,0.0,heed,txrx,0.1862183064852929,0.1847915629061519,0.1881525135976827,0.23157817876295553,0.22182353034494792,0.24180254787457023,-0.04535987227766264,-0.05568788688970691,-0.03589615481329383
50,0.0,greedy,pdr,0.37896654716479106,0.36006071141296736,0.401932700603969,0.35271437820403484,0.32287578131841943,0.3872843178920527,0.026252168960756217,-0.012826884300497627,0.06379856764990044
50,0.0,greedy,delay,0.06366393876076974,0.06098767605633805,0.06634020146520145,0.060736031746031774,0.058324444444444457,0.06387142857142858,0.002927907014737968,-0.0010623127654817784,0.0066739499389498885
50,0.0,greedy,txrx,0.1862183064852929,0.1847915629061519,0.1881525135976827,0.18722453030315017,0.18358503030568296,0.19165578298290456,-0.0010062238178572824,-0.005681697066131864,0.003267379378012959
50,0.2,leach,pdr,0.2870379959800261,0.25236345743808425,0.330550027226864,0.06650993572641818,0.027329192546583843,0.10774730023743999,0.22052806025360794,0.1669650174062645,0.2775717309116668
50,0.2,leach,delay,0.06275323433044648,0.05898242424242424,0.06678865805926004,0.05481385281385278,0.02595670995670994,0.0732467532467532,0.0079393815165937,-0.011246649147608617,0.036311732067270334
50,0.2,leach,txrx,0.18692199283479172,0.18305034732653544,0.19079363834304802,0.22576283856083879,0.20272899006106254,0.25008231530266445,-0.03884084572604707,-0.06507837610722644,-0.016099695630584315
50,0.2,heed,pdr,0.2870379959800261,0.25236345743808425,0.330550027226864,0.00494593972854842,0.0,0.01235334713595582,0.2820920562514777,0.24652333159795842,0.32436185147347085
50,0.2,heed,delay,0.06275323433044648,0.05898242424242424,0.06678865805926004,0.04266666666666666,0.0,0.09066666666666665,0.020086567663779822,-0.026923432336220174,0.06389254467527407
50,0.2,heed,txrx,0.18692199283479172,0.18305034732653544,0.19079363834304802,0.22234800122322165,0.21538386078928914,0.22990094261825397,-0.035426008388429936,-0.04410562530634318,-0.027416769451729023
50,0.2,greedy,pdr,0.2870379959800261,0.25236345743808425,0.330550027226864,0.24214246767678693,0.22536314636916374,0.2582441214699279,0.044895528303239174,0.006678355065451888,0.08899114829671385
50,0.2,greedy,delay,0.06275323433044648,0.05898242424242424,0.06678865805926004,0.0591504662004662,0.055964568764568755,0.06378076923076922,0.0036027681299802827,-0.002310368201299944,0.009004564702003661
50,0.2,greedy,txrx,0.18692199283479172,0.18305034732653544,0.19079363834304802,0.18836618381325426,0.18694522732582514,0.19028032389612998,-0.001444190978462545,-0.005680577663539133,0.0026553532344181507
100,0.0,leach,pdr,0.3674625045404507,0.35212933449241757,0.3833078880407125,0.11849024774612622,0.10690214193007483,0.1303521706537358,0.2489722567943245,0.22962527107813516,0.2684862816836713
100,0.0,leach,delay,0.060529765392013254,0.05789025741283793,0.0632784755148241,0.07308945086993868,0.06979085515670883,0.076520325203252,-0.012559685477925422,-0.016832282476281085,-0.008187091612333906
100,0.0,leach,txrx,0.545154971904515,0.5319725800028416,0.5559012859218502,0.6346077101063251,0.6099495077967596,0.6564089567761833,-0.0894527382018101,-0.11471697111347542,-0.06234546453034016
100,0.0,heed,pdr,0.3674625045404507,0.35212933449241757,0.3833078880407125,0.0426137398591195,0.03230316582828298,0.052787068004459245,0.3248487646813312,0.30740381857009524,0.342962901243552
100,0.0,heed,delay,0.060529765392013254,0.05789025741283793,0.0632784755148241,0.07491709401709398,0.07125213675213671,0.07887863247863244,-0.014387328625080728,-0.019120218656583796,-0.009903698127542923
100,0.0,heed,txrx,0.545154971904515,0.5319725800028416,0.5559012859218502,0.6432577462604432,0.62979020764913,0.6535292327321175,-0.09810277435592818,-0.11524577009511672,-0.08034790094192963
100,0.0,greedy,pdr,0.3674625045404507,0.35212933449241757,0.3833078880407125,0.3255700500321833,0.3043162813935509,0.3431161801339718,0.041892454508267396,0.01870489664622242,0.06739302605419986
