seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.25806451612903225,0.05875000000000003,2.5,0.07864414957932658,0.10906240000000285,0.01755999999999971,10040,502,1004,502
2,0.24175824175824176,0.0581818181818182,2.340909090909091,0.07441414883964223,0.11324800000000376,0.01681999999999967,10760,538,1076,538
3,0.26666666666666666,0.056153846153846186,2.423076923076923,0.08103817029141844,0.10526080000000534,0.01793999999999975,9480,474,948,474
4,0.23195876288659795,0.0546666666666667,2.3555555555555556,0.07847107691520501,0.10969600000000373,0.017619999999999816,10080,504,1008,504
5,0.21226415094339623,0.06800000000000003,2.933333333333333,0.08984577344065771,0.10215040000000616,0.01989999999999981,8440,422,844,422
