seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.041666666666666664,0.07076923076923078,2.0,0.2668479280290138,0.38363520000019086,0.03448000000000008,42120,2106,4212,2106
2,0.06020066889632107,0.07111111111111112,2.0,0.2614716554601929,0.3551232000001308,0.0354800000000002,39360,1968,3936,1968
3,0.025157232704402517,0.07250000000000001,2.0,0.25261837604521314,0.388460800000216,0.035320000000000344,42680,2134,4268,2134
4,0.044642857142857144,0.07866666666666666,2.0,0.3005899358347937,0.35795840000012574,0.03743999999999995,38760,1938,3876,1938
5,0.041401273885350316,0.08153846153846153,2.0,0.27044083593214785,0.37914240000019134,0.03422000000000066,41400,2070,4140,2070
