seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.3460559796437659,0.05588235294117645,2.1911764705882355,0.16167126114048838,0.39556480000021327,0.03498000000000027,42120,2106,4212,2106
2,0.33055555555555555,0.05731092436974787,2.1848739495798317,0.151975619936137,0.37063680000016436,0.03370000000000061,39360,1968,3936,1968
3,0.3464566929133858,0.05803030303030301,2.1742424242424243,0.15720477235374625,0.3993664000002116,0.03460000000000025,42680,2134,4268,2134
4,0.2853717026378897,0.06151260504201678,2.3529411764705883,0.17356367806563971,0.3754688000001566,0.03749999999999984,38760,1938,3876,1938
5,0.3194103194103194,0.06276923076923073,2.3,0.16989516801904905,0.39573120000020595,0.037219999999999975,41400,2070,4140,2070
