proto,pdr_mean_re,delay_mean_re,tx_j_sum_data_re,rx_j_sum_data_re,pdr_mean,delay_mean,tx_j_sum_data,rx_j_sum_data,pdr_diff_pp,delay_diff_abs,tx_diff_pct,rx_diff_pct
greedy,0.6293646848893285,0.03455458964292391,145.4349892608,136.27330560000001,0.6293646848893285,0.03455458964292391,145.4349892608,136.27330560000001,0.0,0.0,0.0,0.0
leach,0.2916328766616284,0.049287522589892184,202.246506752,194.3757312,0.2916328766616284,0.049287522589892184,202.246506752,194.3757312,0.0,0.0,0.0,0.0
heed,0.3394468719434024,0.04667648158534305,201.21286558719996,184.07854079999998,0.33944687194340245,0.04667648158534305,201.21286558719996,184.07854079999998,-5.551115123125783e-15,0.0,0.0,0.0
etx,0.5943278303726561,0.022302650028042624,90.92104875520002,87.95519999999999,0.5943278303726561,0.022302650028042624,90.92104875520002,87.95519999999999,0.0,0.0,0.0,0.0
trusthr,0.5957111369479566,0.023281558339045723,94.99865331200002,91.8157312,0.5957111369479566,0.023281558339045723,94.99865331200002,91.8157312,0.0,0.0,0.0,0.0
pegasis,0.041702870555534066,0.11199271411063333,623.2897545728,441.6668672,0.04170287055553411,0.11199271411063333,623.2897545728,441.6668672,-4.163336342344337e-15,0.0,0.0,0.0
