seed,pdr,delay,hops,tx_j,rx_j,cpu_j,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust
1,0.31769856160100063,0.05918110236220574,2.7275590551181104,3.209915268157321,14.406713600232411,0.7488600000005431,1650000,82500,165000,57750
2,0.3203223369428356,0.05889150943396318,2.6957547169811322,3.2007949895885868,14.520428800235075,0.7432600000005266,1666000,83300,166600,58310
3,0.3884964682139253,0.058714285714286225,2.54512987012987,3.0340997837112207,15.036268800247509,0.7350400000005183,1736400,86820,173640,60774
4,0.32323232323232326,0.05875000000000099,2.7858796296296298,3.2237746616595353,13.850886400227136,0.7532200000005452,1579600,78980,157960,55286
5,0.3333758937691522,0.057020298736117504,2.5614707008808884,3.107380331031817,14.442099200234471,0.7277800000004695,1661600,83080,166160,58156
